time ms,free,max,total
152081,84265784,259522560,259522560
153086,66591256,259522560,259522560
154086,55157752,259522560,259522560
155086,38125936,259522560,259522560
156086,18639512,259522560,259522560
157086,67643776,259522560,259522560
158086,52221616,259522560,259522560
159086,34973360,259522560,259522560
160086,20599840,259522560,259522560
161086,72517152,259522560,259522560
162116,48204344,259522560,259522560
163117,37298784,259522560,259522560
164117,19951760,259522560,259522560
165117,78900544,259522560,259522560
166117,64886192,259522560,259522560
167117,42816064,259522560,259522560
168117,31852544,259522560,259522560
169117,85922920,259522560,259522560
170120,70800720,259522560,259522560
171120,55289696,259522560,259522560
172120,28208736,259522560,259522560
173120,85906208,259522560,259522560
174120,64350416,259522560,259522560
175120,49805120,259522560,259522560
176120,32350752,259522560,259522560
177120,84664016,259522560,259522560
178120,66848848,259522560,259522560
179145,49557976,259522560,259522560
180145,32267104,259522560,259522560
181145,83285656,259522560,259522560
182145,63871808,259522560,259522560
183145,43933672,259522560,259522560
184145,23268456,259522560,259522560
185145,72332328,259522560,259522560
186146,50495848,259522560,259522560
187146,28659392,259522560,259522560
188196,86515424,259522560,259522560
189200,70129272,259522560,259522560
190200,43935216,259522560,259522560
191200,23270768,259522560,259522560
192200,85585864,259522560,259522560
193222,70451048,259522560,259522560
194222,55840536,259522560,259522560
195222,37678744,259522560,259522560
196222,26820080,259522560,259522560
197222,80363088,259522560,259522560
198222,63119208,259522560,259522560
199222,45689952,259522560,259522560
200222,22276200,259522560,259522560
201283,81596976,259522560,259522560
202286,63643424,259522560,259522560
203286,37422744,259522560,259522560
204320,87048520,259522560,259522560
205320,61205264,259522560,259522560
206320,46681872,259522560,259522560
207320,24892584,259522560,259522560
208320,79666392,259522560,259522560
