time ms,free,max,total
81,12206336,259522560,16252928
1087,12076952,259522560,16252928
2087,11382544,259522560,16252928
3123,8712808,259522560,16252928
4131,3846184,259522560,16252928
5131,13067152,259522560,38981632
6131,13067152,259522560,38981632
7131,13067152,259522560,38981632
8133,13067152,259522560,38981632
9133,12831320,259522560,38981632
10133,12821280,259522560,38981632
11133,7108248,259522560,38981632
12133,9728248,259522560,38981632
13133,8169576,259522560,38981632
14133,6593248,259522560,38981632
15137,6592472,259522560,38981632
16137,11314968,259522560,38981632
17137,9742056,259522560,38981632
18137,11314968,259522560,38981632
19137,8164920,259522560,38981632
20137,8168176,259522560,38981632
21144,8163968,259522560,38981632
22144,11312840,259522560,38981632
23144,8162608,259522560,38981632
24144,11837320,259522560,38981632
25144,8689416,259522560,38981632
26144,9737952,259522560,38981632
27144,6592112,259522560,38981632
28144,12361464,259522560,38981632
29145,9737896,259522560,38981632
30145,8164952,259522560,38981632
31145,11837320,259522560,38981632
32145,8689432,259522560,38981632
33145,8689432,259522560,38981632
34145,8689432,259522560,38981632
35145,8165128,259522560,38981632
36145,11837320,259522560,38981632
37145,11837320,259522560,38981632
38145,9737880,259522560,38981632
39352,10260832,259522560,38981632
40354,7114992,259522560,38981632
41362,7114992,259522560,38981632
42367,11309368,259522560,38981632
43368,9736456,259522560,38981632
44368,8163528,259522560,38981632
45370,11309296,259522560,38981632
46379,8163456,259522560,38981632
47385,8163456,259522560,38981632
48386,11835792,259522560,38981632
49386,10260816,259522560,38981632
50386,9736480,259522560,38981632
51389,11309392,259522560,38981632
52389,7114992,259522560,38981632
53389,9212160,259522560,38981632
54416,11309272,259522560,38981632
55416,11835792,259522560,38981632
56417,10260832,259522560,38981632
57420,10260832,259522560,38981632
58420,8687904,259522560,38981632
59423,11309392,259522560,38981632
60423,6590640,259522560,38981632
61423,6590640,259522560,38981632
62423,9736360,259522560,38981632
63423,10260832,259522560,38981632
64423,11309392,259522560,38981632
65423,6590640,259522560,38981632
66423,6590624,259522560,38981632
67425,8163432,259522560,38981632
68425,10260848,259522560,38981632
69425,7115008,259522560,38981632
70425,7115008,259522560,38981632
71425,8163528,259522560,38981632
72425,6590600,259522560,38981632
73425,9736384,259522560,38981632
74425,11309296,259522560,38981632
75427,6583672,259522560,38981632
76427,11295720,259522560,38981632
77427,9683832,259522560,38981632
78427,9686952,259522560,38981632
79430,8114024,259522560,38981632
80430,10211400,259522560,38981632
81433,8638472,259522560,38981632
82433,7065560,259522560,38981632
83433,11259864,259522560,38981632
84434,9682728,259522560,38981632
85434,8109624,259522560,38981632
86435,9686968,259522560,38981632
87442,6536904,259522560,38981632
88451,9686856,259522560,38981632
89451,11786272,259522560,38981632
90451,8638384,259522560,38981632
91451,11253808,259522560,38981632
92451,8111320,259522560,38981632
93454,9684160,259522560,38981632
94454,8111248,259522560,38981632
95454,11783584,259522560,38981632
96454,7062768,259522560,38981632
97454,11257184,259522560,38981632
98454,6538432,259522560,38981632
99454,9684136,259522560,38981632
100454,10208608,259522560,38981632
101454,11785536,259522560,38981632
102455,9684272,259522560,38981632
103455,29324688,259522560,202485760
104455,7191712,259522560,202485760
105455,71924816,259522560,259522560
106457,51416016,259522560,259522560
107457,24994016,259522560,259522560
108457,63128360,259522560,259522560
109457,43160568,259522560,259522560
110457,25217080,259522560,259522560
111794,71636936,259522560,259522560
112794,52986744,259522560,259522560
113794,30644368,259522560,259522560
114794,84843240,259522560,259522560
115794,63960832,259522560,259522560
116794,41469224,259522560,259522560
117794,21617296,259522560,259522560
118794,70772232,259522560,259522560
119794,49952824,259522560,259522560
120794,25033360,259522560,259522560
121794,82111496,259522560,259522560
122794,66095200,259522560,259522560
123795,41840960,259522560,259522560
124795,22219216,259522560,259522560
125795,77850128,259522560,259522560
126795,56949520,259522560,259522560
127796,37621808,259522560,259522560
128797,19861896,259522560,259522560
129797,76515080,259522560,259522560
130798,53584328,259522560,259522560
131798,34920304,259522560,259522560
132882,87716272,259522560,259522560
133882,71915856,259522560,259522560
134882,55066816,259522560,259522560
135882,40315008,259522560,259522560
136888,26772104,259522560,259522560
137895,77845792,259522560,259522560
138896,60233024,259522560,259522560
139896,30459312,259522560,259522560
140896,81661960,259522560,259522560
141897,68835792,259522560,259522560
142897,42049608,259522560,259522560
143897,20323120,259522560,259522560
144898,75224608,259522560,259522560
146056,55035192,259522560,259522560
147057,33070624,259522560,259522560
148081,87653200,259522560,259522560
149081,67020104,259522560,259522560
150081,50515432,259522560,259522560
151081,37397320,259522560,259522560
