time ms,free,max,total
43,12175048,259522560,16252928
1044,11253792,259522560,16252928
2044,11207560,259522560,16252928
3052,13069264,259522560,38993920
4052,13069264,259522560,38993920
5052,13069264,259522560,38993920
6052,12873104,259522560,38993920
7052,12850688,259522560,38993920
8052,10990968,259522560,38993920
9052,8676048,259522560,38993920
10052,7113888,259522560,38993920
11052,3285856,259522560,38993920
12052,4839184,259522560,38993920
13052,4679328,259522560,38993920
14052,4597064,259522560,38993920
15127,105714096,259522560,185020416
16139,82551696,259522560,185020416
17143,82542264,259522560,185020416
18143,82527312,259522560,185020416
19143,82527312,259522560,185020416
20143,82527312,259522560,185020416
21143,82521848,259522560,185020416
22143,82521848,259522560,185020416
23143,82521848,259522560,185020416
24143,82521848,259522560,185020416
25143,82521848,259522560,185020416
26143,82521848,259522560,185020416
27143,82517888,259522560,185020416
28143,82517888,259522560,185020416
29143,82517888,259522560,185020416
30143,82517888,259522560,185020416
31143,82517888,259522560,185020416
32143,82508472,259522560,185020416
33143,82040912,259522560,185020416
34143,81979832,259522560,185020416
35143,81427824,259522560,185020416
36143,81407008,259522560,185020416
37143,81323736,259522560,185020416
38143,81319776,259522560,185020416
39143,81319776,259522560,185020416
40143,81159840,259522560,185020416
41143,81137904,259522560,185020416
42143,81112768,259522560,185020416
43143,81067768,259522560,185020416
44143,81010736,259522560,185020416
45143,80965560,259522560,185020416
46143,80961600,259522560,185020416
47143,80961600,259522560,185020416
48143,80961600,259522560,185020416
49144,80961600,259522560,185020416
50144,80961600,259522560,185020416
51145,80961600,259522560,185020416
52145,80961600,259522560,185020416
53145,80961600,259522560,185020416
54145,80961600,259522560,185020416
55149,80961600,259522560,185020416
56150,80961600,259522560,185020416
57150,80961600,259522560,185020416
58150,80961600,259522560,185020416
59150,80961600,259522560,185020416
60154,80961600,259522560,185020416
61154,80961600,259522560,185020416
62154,80961600,259522560,185020416
63154,80961600,259522560,185020416
64154,80952224,259522560,185020416
65154,80938896,259522560,185020416
66205,80938896,259522560,185020416
67205,80938896,259522560,185020416
68205,80938896,259522560,185020416
69205,80938896,259522560,185020416
70205,80012400,259522560,185020416
71205,80012400,259522560,185020416
72205,80012400,259522560,185020416
73205,80012400,259522560,185020416
74211,80012400,259522560,185020416
75212,80012400,259522560,185020416
76212,80012400,259522560,185020416
77212,80012400,259522560,185020416
78213,80012400,259522560,185020416
79213,80012400,259522560,185020416
80213,80012400,259522560,185020416
81213,80012400,259522560,185020416
82213,80012400,259522560,185020416
83213,80012400,259522560,185020416
84213,80012400,259522560,185020416
85213,80012400,259522560,185020416
86213,80012400,259522560,185020416
87213,80012400,259522560,185020416
88213,80012400,259522560,185020416
89213,80012400,259522560,185020416
90213,80012400,259522560,185020416
91355,80012400,259522560,185020416
92355,80012400,259522560,185020416
93355,79970224,259522560,185020416
94355,79970224,259522560,185020416
95355,79970224,259522560,185020416
96355,79970224,259522560,185020416
97355,79970224,259522560,185020416
98355,79970224,259522560,185020416
99355,79970224,259522560,185020416
100355,79970224,259522560,185020416
101355,79970224,259522560,185020416
102355,79970224,259522560,185020416
103355,79970224,259522560,185020416
104355,79970224,259522560,185020416
105355,79970224,259522560,185020416
106355,79970224,259522560,185020416
107355,79970224,259522560,185020416
108355,79970224,259522560,185020416
109355,79970224,259522560,185020416
110355,79970224,259522560,185020416
111355,79970224,259522560,185020416
112355,79970224,259522560,185020416
113355,79970224,259522560,185020416
114355,79970224,259522560,185020416
115355,79970224,259522560,185020416
116355,79970224,259522560,185020416
117355,79970224,259522560,185020416
118355,79970224,259522560,185020416
119355,79970224,259522560,185020416
120355,79970224,259522560,185020416
121355,79970224,259522560,185020416
122355,79970224,259522560,185020416
123355,79970224,259522560,185020416
124355,79970224,259522560,185020416
125355,79970224,259522560,185020416
126355,79970224,259522560,185020416
127355,79970224,259522560,185020416
128355,79970224,259522560,185020416
129355,79970224,259522560,185020416
130355,79970224,259522560,185020416
131355,79970224,259522560,185020416
132355,79970224,259522560,185020416
133355,79970224,259522560,185020416
134355,79970224,259522560,185020416
135355,79970224,259522560,185020416
136355,79970224,259522560,185020416
137356,79970224,259522560,185020416
138356,79970224,259522560,185020416
139356,79970224,259522560,185020416
140356,79970224,259522560,185020416
141356,79970224,259522560,185020416
142356,79970224,259522560,185020416
143356,79970224,259522560,185020416
144356,79970224,259522560,185020416
145356,79970224,259522560,185020416
146356,79970224,259522560,185020416
147356,79970224,259522560,185020416
148356,79970224,259522560,185020416
149356,79970224,259522560,185020416
150356,79970224,259522560,185020416
151356,79970224,259522560,185020416
152356,79970224,259522560,185020416
153356,79970224,259522560,185020416
154356,79970224,259522560,185020416
155356,79970224,259522560,185020416
156356,79970224,259522560,185020416
157356,79970224,259522560,185020416
158356,79970224,259522560,185020416
159356,79970224,259522560,185020416
160356,79970224,259522560,185020416
161356,79970224,259522560,185020416
162356,79970224,259522560,185020416
163356,79970224,259522560,185020416
164356,79970224,259522560,185020416
165356,79970224,259522560,185020416
166356,79970224,259522560,185020416
167356,79970224,259522560,185020416
168356,79970224,259522560,185020416
169356,79970224,259522560,185020416
170356,79927960,259522560,185020416
171356,79927960,259522560,185020416
172356,79927960,259522560,185020416
173356,79927960,259522560,185020416
174356,79927960,259522560,185020416
175356,79927960,259522560,185020416
176356,79927960,259522560,185020416
177356,79927960,259522560,185020416
178356,79927960,259522560,185020416
179356,79927960,259522560,185020416
180356,79927960,259522560,185020416
181356,79927960,259522560,185020416
182356,79927960,259522560,185020416
183356,79927960,259522560,185020416
184356,79927960,259522560,185020416
185356,79927960,259522560,185020416
186356,79927960,259522560,185020416
187356,79927960,259522560,185020416
188356,79927960,259522560,185020416
189356,79927960,259522560,185020416
190356,79927960,259522560,185020416
191356,79927960,259522560,185020416
192360,79927960,259522560,185020416
193361,79927960,259522560,185020416
194361,79927960,259522560,185020416
195362,79927960,259522560,185020416
196362,79927960,259522560,185020416
197368,79927960,259522560,185020416
198368,79927960,259522560,185020416
199368,79927960,259522560,185020416
200368,79927960,259522560,185020416
201368,79927960,259522560,185020416
202368,79927960,259522560,185020416
203368,79927960,259522560,185020416
204368,79927960,259522560,185020416
205368,79927960,259522560,185020416
207474,79927960,259522560,185020416
208474,79927960,259522560,185020416
209474,79927960,259522560,185020416
210474,79927960,259522560,185020416
211474,79927960,259522560,185020416
212474,79927960,259522560,185020416
213475,79927960,259522560,185020416
214478,79927960,259522560,185020416
